=== Hammerspoon Log Started at 2025-10-31 16:06:44 ===
[2025-10-31 16:06:44] [VERBOSE] hs.axuielement:attributeNames AXError -25204: Messaging failed
[2025-10-31 16:06:44] [VERBOSE] hs.axuielement:attributeNames AXError -25204: Messaging failed
[2025-10-31 16:06:44] [VERBOSE] hs.axuielement:attributeNames AXError -25204: Messaging failed
[2025-10-31 16:06:44] [VERBOSE] hs.axuielement:attributeNames AXError -25204: Messaging failed
[2025-10-31 16:06:45] [VERBOSE] hs.axuielement:attributeNames AXError -25204: Messaging failed
[2025-10-31 16:06:45] [VERBOSE] hs.axuielement:attributeNames AXError -25204: Messaging failed
[2025-10-31 16:06:45] [VERBOSE] hs.axuielement:attributeNames AXError -25204: Messaging failed
[2025-10-31 16:06:45] [VERBOSE] hs.axuielement:attributeNames AXError -25204: Messaging failed
[2025-10-31 16:06:45] [VERBOSE] hs.axuielement:attributeNames AXError -25204: Messaging failed
[2025-10-31 16:06:45] [VERBOSE] hs.axuielement:attributeNames AXError -25204: Messaging failed
[2025-10-31 16:06:45] [VERBOSE] hs.axuielement:attributeNames AXError -25204: Messaging failed
[2025-10-31 16:06:45] [VERBOSE] hs.axuielement:attributeNames AXError -25204: Messaging failed
[2025-10-31 16:06:45] [VERBOSE] hs.axuielement:attributeNames AXError -25204: Messaging failed
[2025-10-31 16:06:45] [VERBOSE] hs.axuielement:attributeNames AXError -25204: Messaging failed
[2025-10-31 16:06:45] [VERBOSE] hs.axuielement:attributeNames AXError -25204: Messaging failed
[2025-10-31 16:06:45] [VERBOSE] hs.axuielement:attributeNames AXError -25204: Messaging failed
[2025-10-31 16:06:45] [VERBOSE] hs.axuielement:attributeNames AXError -25204: Messaging failed
[2025-10-31 16:06:45] [VERBOSE] hs.axuielement:attributeNames AXError -25204: Messaging failed
[2025-10-31 16:06:45] [VERBOSE] hs.axuielement:attributeNames AXError -25204: Messaging failed
[2025-10-31 16:06:45] [VERBOSE] hs.axuielement:attributeNames AXError -25204: Messaging failed
